t f(t)
0.200000 72.776531
0.400000 59.676227
0.600000 48.906299
0.800000 41.217737
1.000000 33.744547
1.200000 27.611551
1.400000 23.240267
1.600000 18.998016
1.800000 15.522250
2.000000 13.048612
2.200000 10.651479
2.400000 8.690485
2.600000 7.296853
2.800000 5.948180
3.000000 4.846502
3.200000 4.064617
3.400000 3.308949
3.600000 2.692537
3.800000 2.255621
4.000000 1.833886
4.200000 1.490335
4.400000 1.247127
4.600000 1.012658
4.800000 0.821906
5.000000 0.687033
5.200000 0.557161
5.400000 0.451640
5.600000 0.377119
5.800000 0.305445
6.000000 0.247285
6.200000 0.206259
6.400000 0.166847
6.600000 0.134906
6.800000 0.112401
7.000000 0.090807
7.200000 0.073329
7.400000 0.061028
7.600000 0.049240
7.800000 0.039709
8.000000 0.033011
8.200000 0.026599
8.400000 0.021421
8.600000 0.017787
8.800000 0.014312
9.000000 0.011510
9.200000 0.009546
9.400000 0.007670
9.600000 0.006159
9.800000 0.005101
10.000000 0.004092
10.200000 0.003281
10.400000 0.002714
10.600000 0.002174
10.800000 0.001740
11.000000 0.001437
11.200000 0.001149
11.400000 0.000918
11.600000 0.000757
11.800000 0.000604
12.000000 0.000482
12.200000 0.000397
12.400000 0.000316
12.600000 0.000251
12.800000 0.000207
13.000000 0.000164
13.200000 0.000130
13.400000 0.000107
13.600000 0.000085
13.800000 0.000067
14.000000 0.000055
14.200000 0.000043
14.400000 0.000034
14.600000 0.000028
14.800000 0.000022
15.000000 0.000017
15.200000 0.000014
15.400000 0.000011
15.600000 0.000009
15.800000 0.000007
16.000000 0.000005
16.200000 0.000004
16.400000 0.000003
16.600000 0.000003
16.800000 0.000002
17.000000 0.000002
17.200000 0.000001
17.400000 0.000001
17.600000 0.000001
17.800000 0.000001
18.000000 0.000000
18.200000 0.000000
18.400000 0.000000
18.600000 0.000000
18.800000 0.000000
19.000000 0.000000
19.200000 0.000000
19.400000 0.000000
19.600000 0.000000
19.800000 0.000000
20.000000 0.000000
20.200000 0.000000
20.400000 0.000000
20.600000 0.000000
20.800000 0.000000
21.000000 0.000000
21.200000 -0.000000
21.400000 -0.000000
21.600000 -0.000000
21.800000 -0.000000
22.000000 -0.000000
22.200000 -0.000000
22.400000 -0.000000
22.600000 -0.000000
22.800000 -0.000000
23.000000 -0.000000
23.200000 -0.000000
23.400000 -0.000000
23.600000 -0.000000
23.800000 -0.000000
24.000000 -0.000000
24.200000 -0.000000
24.400000 -0.000000
24.600000 -0.000000
24.800000 -0.000000
25.000000 -0.000000
25.200000 -0.000000
25.400000 -0.000000
25.600000 -0.000000
25.800000 -0.000000
26.000000 -0.000000
26.200000 -0.000000
26.400000 -0.000000
26.600000 -0.000000
26.800000 -0.000000
27.000000 -0.000000
27.200000 -0.000000
27.400000 -0.000000
27.600000 -0.000000
27.800000 -0.000000
28.000000 -0.000000
28.200000 -0.000000
28.400000 -0.000000
28.600000 -0.000000
28.800000 -0.000000
29.000000 -0.000000
29.200000 -0.000000
29.400000 -0.000000
29.600000 -0.000000
29.800000 -0.000000
30.000000 -0.000000
30.200000 -0.000000
30.400000 -0.000000
30.600000 -0.000000
30.800000 -0.000000
31.000000 -0.000000
31.200000 -0.000000
31.400000 -0.000000
31.600000 -0.000000
31.800000 -0.000000
32.000000 -0.000000
32.200000 -0.000000
32.400000 -0.000000
32.600000 -0.000000
32.800000 -0.000000
33.000000 -0.000000
33.200000 -0.000000
33.400000 -0.000000
33.600000 -0.000000
33.800000 -0.000000
34.000000 -0.000000
34.200000 -0.000000
34.400000 -0.000000
34.600000 -0.000000
34.800000 -0.000000
35.000000 -0.000000
35.200000 -0.000000
35.400000 -0.000000
35.600000 -0.000000
35.800000 -0.000000
36.000000 -0.000000
36.200000 -0.000000
36.400000 -0.000000
36.600000 -0.000000
36.800000 -0.000000
37.000000 -0.000000
37.200000 -0.000000
37.400000 -0.000000
37.600000 -0.000000
37.800000 -0.000000
38.000000 -0.000000
38.200000 -0.000000
38.400000 -0.000000
38.600000 -0.000000
38.800000 -0.000000
39.000000 -0.000000
39.200000 -0.000000
39.400000 -0.000000
39.600000 -0.000000
39.800000 -0.000000
40.000000 -0.000000
40.200000 -0.000000
40.400000 -0.000000
40.600000 -0.000000
40.800000 -0.000000
41.000000 -0.000000
41.200000 -0.000000
41.400000 -0.000000
41.600000 -0.000000
41.800000 -0.000000
42.000000 -0.000000
42.200000 -0.000000
42.400000 -0.000000
42.600000 -0.000000
42.800000 -0.000000
43.000000 -0.000000
43.200000 -0.000000
43.400000 -0.000000
43.600000 -0.000000
43.800000 -0.000000
44.000000 -0.000000
44.200000 -0.000000
44.400000 -0.000000
44.600000 -0.000000
44.800000 -0.000000
45.000000 -0.000000
45.200000 -0.000000
45.400000 -0.000000
45.600000 -0.000000
45.800000 -0.000000
46.000000 -0.000000
46.200000 -0.000000
46.400000 -0.000000
46.600000 -0.000000
46.800000 -0.000000
47.000000 -0.000000
47.200000 -0.000000
47.400000 -0.000000
47.600000 -0.000000
47.800000 -0.000000
48.000000 -0.000000
48.200000 -0.000000
48.400000 -0.000000
48.600000 -0.000000
48.800000 -0.000000
49.000000 -0.000000
49.200000 -0.000000
49.400000 -0.000000
49.600000 -0.000000
49.800000 -0.000000
50.000000 -0.000000
50.200000 -0.000000
50.400000 -0.000000
50.600000 -0.000000
50.800000 -0.000000
51.000000 -0.000000
51.200000 -0.000000
51.400000 -0.000000
51.600000 -0.000000
51.800000 -0.000000
52.000000 -0.000000
52.200000 -0.000000
52.400000 -0.000000
52.600000 0.000000
52.800000 0.000000
53.000000 0.000000
53.200000 0.000000
53.400000 0.000000
53.600000 0.000000
53.800000 0.000000
54.000000 0.000000
54.200000 0.000000
54.400000 0.000000
54.600000 0.000000
54.800000 0.000000
55.000000 0.000000
55.200000 0.000000
55.400000 0.000000
55.600000 0.000000
55.800000 0.000000
56.000000 0.000000
